inserts_40,inserts_80,inserts_120
0.005158,0.009838,0.016718
0.003642,0.007963,0.016208
0.004205,0.008710,0.019825
0.004445,0.010811,0.019866
0.004102,0.012543,0.017581
0.004380,0.009186,0.016403
0.005401,0.009504,0.018054
0.005778,0.013514,0.022349
0.005581,0.010000,0.016031
0.006044,0.010719,0.017155
0.004055,0.010476,0.016424
0.005121,0.011481,0.060670
0.004207,0.009334,0.018944
0.004201,0.011694,0.020686
0.004393,0.012482,0.014666
0.004312,0.008636,0.018365
0.005224,0.008474,0.018137
0.003777,0.011569,0.014964
0.004478,0.009825,0.012552
0.003881,0.011321,0.014863
0.004444,0.013777,0.014726
0.004525,0.008977,0.014944
0.004911,0.009131,0.017797
0.004811,0.009762,0.019721
0.005054,0.010513,0.020760
0.005213,0.011715,0.016076
0.004065,0.008771,0.021114
0.003753,0.011168,0.017652
0.004645,0.009056,0.016040
0.003947,0.012182,0.014866
0.004164,0.011282,0.041012
0.005044,0.009329,0.018376
0.005658,0.008170,0.016024
0.004858,0.008281,0.020475
0.005615,0.009734,0.016860
0.004197,0.011210,0.016461
